seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr16	23313389	23313400	12	*	X720	6338	23313591	23392620	79030	+	190	upstream	190	SCNN1B
chr16	30798482	30798679	198	*	X722	23361	30789770	30798523	8754	-	0	overlapStart	0	ZNF629
chr16	84402143	84402268	126	*	X726	9914	84402133	84497793	95661	+	0	inside	9	ATP2C2
chr16	84853697	84853705	9	*	X727	83716	84853587	84943116	89530	+	0	inside	109	CRISPLD2
chr16	84853850	84853862	13	*	X728	83716	84853587	84943116	89530	+	0	inside	262	CRISPLD2
chr17	31657	31788	132	*	X730	8447	6011	31420	25410	-	236	upstream	236	DOC2B
chr17	32906272	32906435	164	*	X735	124842	32907768	32966337	58570	+	1332	upstream	1332	TMEM132E
chr17	32906272	32906435	164	*	X735	400591	32901142	32906388	5247	-	0	overlapStart	0	C17orf102
chr17	32906473	32906621	149	*	X736	124842	32907768	32966337	58570	+	1146	upstream	1146	TMEM132E
chr17	32906473	32906621	149	*	X736	400591	32901142	32906388	5247	-	84	upstream	84	C17orf102
chr17	32906666	32906676	11	*	X737	124842	32907768	32966337	58570	+	1091	upstream	1091	TMEM132E
chr17	32906666	32906676	11	*	X737	400591	32901142	32906388	5247	-	277	upstream	277	C17orf102
chr17	32906705	32906727	23	*	X738	124842	32907768	32966337	58570	+	1040	upstream	1040	TMEM132E
chr17	32906705	32906727	23	*	X738	400591	32901142	32906388	5247	-	316	upstream	316	C17orf102
chr17	39890714	39890971	258	*	X740	9001	39878891	39890898	12008	-	0	overlapStart	0	HAP1
chr17	40575154	40575391	238	*	X743	284119	40554467	40575338	20872	-	0	overlapStart	0	CAVIN1
chr17	48072554	48072703	150	*	X754	1747	48067369	48072588	5220	-	0	overlapStart	0	DLX3
chr17	56833261	56833339	79	*	X755	22843	56833230	57062540	229311	+	0	inside	30	PPM1E
chr17	64961085	64961266	182	*	X756	27092	64960980	65029518	68539	+	0	inside	104	CACNG4
chr17	66596743	66596888	146	*	X759	54757	66531257	66597095	65839	-	0	inside	206	FAM20A
chr17	68164818	68164837	20	*	X760	3759	68164814	68176183	11370	+	0	inside	3	KCNJ2
chr17	72427862	72427907	46	*	X761	55890	72427667	72446720	19054	+	0	inside	194	GPRC5C
chr17	72427931	72428088	158	*	X762	55890	72427667	72446720	19054	+	0	inside	263	GPRC5C
chr17	73717051	73717103	53	*	X763	3691	73717516	73753899	36384	+	412	upstream	412	ITGB4
chr17	74136114	74136118	5	*	X764	100507218	74136637	74150729	14093	+	518	upstream	518	RNF157-AS1
chr17	74136594	74136733	140	*	X765	100507218	74136637	74150729	14093	+	0	overlapStart	0	RNF157-AS1
chr17	79360424	79360439	16	*	X768	100130370	79349699	79359160	9462	-	1263	upstream	1263	LOC100130370
chr17	79360497	79360532	36	*	X769	100130370	79349699	79359160	9462	-	1336	upstream	1336	LOC100130370
chr18	11689022	11689046	25	*	X773	2774	11689014	11885683	196670	+	0	inside	7	GNAL
chr18	11689192	11689266	75	*	X774	2774	11689014	11885683	196670	+	0	inside	177	GNAL
chr18	30051187	30051200	14	*	X776	64762	29843484	30050447	206964	-	739	upstream	739	GAREM1
chr18	67067666	67067737	72	*	X780	220164	67068284	67516322	448039	+	546	upstream	546	DOK6
chr19	18061409	18061471	63	*	X784	3780	18062111	18109930	47820	+	639	upstream	639	KCNN1
chr19	33167062	33167267	206	*	X785	84079	33087907	33166102	78196	-	959	upstream	959	ANKRD27
chr19	33792284	33792471	188	*	X786	80054	33793763	33795963	2201	+	1291	upstream	1291	CEBPA-DT
chr19	41724612	41724617	6	*	X787	558	41725108	41767671	42564	+	490	upstream	490	AXL
chr19	42817683	42817774	92	*	X788	284339	42817477	42829214	11738	+	0	inside	205	TMEM145
chr19	45999683	45999771	89	*	X791	147699	46001731	46005764	4034	+	1959	upstream	1959	PPM1N
chr19	46999254	46999301	48	*	X792	57469	46994448	46999169	4722	-	84	upstream	84	PNMA8B
chr20	2780845	2781001	157	*	X798	56265	2774715	2781292	6578	-	0	inside	290	CPXM1
chr20	19192475	19192489	15	*	X799	57419	19193290	19703541	510252	+	800	upstream	800	SLC24A3
chr20	39317776	39317803	28	*	X803	9935	39314517	39317876	3360	-	0	inside	72	MAFB
chr20	39317828	39317844	17	*	X804	9935	39314517	39317876	3360	-	0	inside	31	MAFB
chr20	44936978	44937133	156	*	X807	64405	44802372	44937137	134766	-	0	inside	3	CDH22
chr20	55204111	55204232	122	*	X811	7022	55204358	55214338	9981	+	125	upstream	125	TFAP2C
chr20	55204250	55204263	14	*	X812	7022	55204358	55214338	9981	+	94	upstream	94	TFAP2C
chr20	55842079	55842115	37	*	X813	655	55743809	55841707	97899	-	371	upstream	371	BMP7
chr20	57874884	57874894	11	*	X816	1908	57875499	57901047	25549	+	604	upstream	604	EDN3
chr22	37099705	37099885	181	*	X825	10369	36956916	37098690	141775	-	1014	upstream	1014	CACNG2
chr22	38201235	38201290	56	*	X828	3005	38201114	38203443	2330	+	0	inside	120	H1-0
chr22	38852235	38852259	25	*	X829	3761	38822333	38851205	28873	-	1029	upstream	1029	KCNJ4
chr22	51038554	51038653	100	*	X835	23542	51039131	51049979	10849	+	477	upstream	477	MAPK8IP2
